Model,Pipeline,Accuracy,Precision,Recall,F1-Score
KNN,Classical ML,0.6320251937984496,0.6527066997731946,0.6320251937984496,0.6159225236409788
MLP,Classical ML,0.6710271317829457,0.6643032810614435,0.6710271317829457,0.6668842916738268
ResNet50,Deep Learning,0.9903100775193798,0.9906325450958667,0.9903100775193798,0.9903586931813132
MobileNetV2,Deep Learning,0.968265503875969,0.9690030622254141,0.968265503875969,0.9684143863410419
